ANNEE;DEPARTEMENT;Age;Qmort;Survie
1806;EURE-ET-LOIR;45;0,0654;488
1806;EURE-ET-LOIR;50;0,0819;456
1806;EURE-ET-LOIR;55;0,1098;419
1806;EURE-ET-LOIR;60;0,157;373
1806;EURE-ET-LOIR;65;0,226;314
1806;EURE-ET-LOIR;70;0,3286;243
1806;EURE-ET-LOIR;75;0,4469;163
1806;EURE-ET-LOIR;80;0,5851;90
1806;EURE-ET-LOIR;85;0,7462;37
1806;FINISTERE;0;0,5027;1000
1806;FINISTERE;5;0,0715;497
1806;FINISTERE;10;0,043;462
1806;FINISTERE;15;0,0589;442
1806;FINISTERE;20;0,0749;416
1806;FINISTERE;25;0,0792;385
1806;FINISTERE;30;0,0827;354
1806;FINISTERE;35;0,0845;325
1806;FINISTERE;40;0,0852;297
1806;FINISTERE;45;0,087;272
1806;FINISTERE;50;0,1045;248
1806;FINISTERE;55;0,1368;223
1806;FINISTERE;60;0,1906;192
1806;FINISTERE;65;0,2668;155
1806;FINISTERE;70;0,375;114
1806;FINISTERE;75;0,4897;71
1806;FINISTERE;80;0,6181;36
1806;FINISTERE;85;0,7692;14
1806;GARD;0;0,2382;1000
1806;GARD;5;0,0297;762
1806;GARD;10;0,02;739
1806;GARD;15;0,0294;724
1806;GARD;20;0,0384;703
1806;GARD;25;0,0417;676
1806;GARD;30;0,0446;648
1806;GARD;35;0,0482;619
1806;GARD;40;0,0522;589
1806;GARD;45;0,0587;558
1806;GARD;50;0,0747;526
1806;GARD;55;0,101;486
1806;GARD;60;0,1459;437
1806;GARD;65;0,2123;373
1806;GARD;70;0,3127;294
1806;GARD;75;0,4317;202
1806;GARD;80;0,5731;115
1806;GARD;85;0,7378;49
1806;GARONNE(HAUTE-);0;0,2406;1000
1806;GARONNE(HAUTE-);5;0,03;759
1806;GARONNE(HAUTE-);10;0,0202;737
1806;GARONNE(HAUTE-);15;0,0297;722
1806;GARONNE(HAUTE-);20;0,0388;700
1806;GARONNE(HAUTE-);25;0,0421;673
1806;GARONNE(HAUTE-);30;0,045;645
1806;GARONNE(HAUTE-);35;0,0486;616
1806;GARONNE(HAUTE-);40;0,0525;586
1806;GARONNE(HAUTE-);45;0,059;555
1806;GARONNE(HAUTE-);50;0,0751;522
1806;GARONNE(HAUTE-);55;0,1015;483
1806;GARONNE(HAUTE-);60;0,1465;434
1806;GARONNE(HAUTE-);65;0,213;370
1806;GARONNE(HAUTE-);70;0,3135;292
1806;GARONNE(HAUTE-);75;0,4324;200
1806;GARONNE(HAUTE-);80;0,5737;114
1806;GARONNE(HAUTE-);85;0,7383;48
1806;GERS;0;0,2629;1000
1806;GERS;5;0,0333;737
1806;GERS;10;0,0221;713
1806;GERS;15;0,0322;697
1806;GERS;20;0,042;674
1806;GERS;25;0,0454;646
1806;GERS;30;0,0484;617
1806;GERS;35;0,0519;587
1806;GERS;40;0,0557;556
1806;GERS;45;0,0618;525
1806;GERS;50;0,0781;493
1806;GERS;55;0,1052;454
1806;GERS;60;0,1512;407
1806;GERS;65;0,2188;345
1806;GERS;70;0,3203;270
1806;GERS;75;0,4389;183
1806;GERS;80;0,5789;103
1806;GERS;85;0,7419;43
1806;GIRONDE;0;0,3936;1000
1806;GIRONDE;5;0,0536;606
1806;GIRONDE;10;0,0334;574
1806;GIRONDE;15;0,0469;555
1806;GIRONDE;20;0,0602;529
1806;GIRONDE;25;0,0642;497
1806;GIRONDE;30;0,0676;465
1806;GIRONDE;35;0,0703;434
1806;GIRONDE;40;0,0726;403
1806;GIRONDE;45;0,0765;374
1806;GIRONDE;50;0,0936;345
1806;GIRONDE;55;0,1239;313
1806;GIRONDE;60;0,1746;274
1806;GIRONDE;65;0,2476;226
1806;GIRONDE;70;0,3533;170
1806;GIRONDE;75;0,4699;110
1806;GIRONDE;80;0,603;58
1806;GIRONDE;85;0,7587;23
1806;HERAULT;0;0,2124;1000
1806;HERAULT;5;0,0259;788
1806;HERAULT;10;0,0177;767
1806;HERAULT;15;0,0264;754
1806;HERAULT;20;0,0347;734
1806;HERAULT;25;0,0378;708
1806;HERAULT;30;0,0406;681
1806;HERAULT;35;0,0442;654
1806;HERAULT;40;0,0484;625
1806;HERAULT;45;0,0553;595
1806;HERAULT;50;0,071;562
1806;HERAULT;55;0,0965;522
1806;HERAULT;60;0,1401;472
1806;HERAULT;65;0,205;405
1806;HERAULT;70;0,3041;322
1806;HERAULT;75;0,4234;224
1806;HERAULT;80;0,5665;129
1806;HERAULT;85;0,7332;56
1806;ILLE-ET-VILAINE;0;0,345;1000
1806;ILLE-ET-VILAINE;5;0,0459;655
1806;ILLE-ET-VILAINE;10;0,0292;625
1806;ILLE-ET-VILAINE;15;0,0415;607
1806;ILLE-ET-VILAINE;20;0,0535;582
1806;ILLE-ET-VILAINE;25;0,0573;550
1806;ILLE-ET-VILAINE;30;0,0606;519
1806;ILLE-ET-VILAINE;35;0,0637;487
1806;ILLE-ET-VILAINE;40;0,0666;456
1806;ILLE-ET-VILAINE;45;0,0714;426
1806;ILLE-ET-VILAINE;50;0,0882;396
1806;ILLE-ET-VILAINE;55;0,1174;361
1806;ILLE-ET-VILAINE;60;0,1666;318
1806;ILLE-ET-VILAINE;65;0,2378;265
1806;ILLE-ET-VILAINE;70;0,3422;202
1806;ILLE-ET-VILAINE;75;0,4596;133
1806;ILLE-ET-VILAINE;80;0,595;72
1806;ILLE-ET-VILAINE;85;0,7531;29
1806;INDRE;0;0,4237;1000
1806;INDRE;5;0,0584;576
1806;INDRE;10;0,0361;543
1806;INDRE;15;0,0502;523
1806;INDRE;20;0,0643;497
1806;INDRE;25;0,0684;465
1806;INDRE;30;0,0718;433
1806;INDRE;35;0,0743;402
1806;INDRE;40;0,0762;372
1806;INDRE;45;0,0795;344
1806;INDRE;50;0,0968;316
1806;INDRE;55;0,1276;286
1806;INDRE;60;0,1793;249
1806;INDRE;65;0,2532;205
1806;INDRE;70;0,3597;153
1806;INDRE;75;0,4758;98
1806;INDRE;80;0,6075;51
1806;INDRE;85;0,7618;20
1806;INDRE-ET-LOIRE;0;0,2501;1000
1806;INDRE-ET-LOIRE;5;0,0314;750
1806;INDRE-ET-LOIRE;10;0,021;726
1806;INDRE-ET-LOIRE;15;0,0308;711
1806;INDRE-ET-LOIRE;20;0,0401;689
1806;INDRE-ET-LOIRE;25;0,0435;662
1806;INDRE-ET-LOIRE;30;0,0465;633
1806;INDRE-ET-LOIRE;35;0,05;603
