"";"ANNEE";"DEPARTEMENT";"Age";"Qmort";"Survie";"EdVieRes"
"191";1806;"AVEYRON";50;0,0759;0,514;12,08
"192";1806;"AVEYRON";55;0,1025;0,475;9,51
"193";1806;"AVEYRON";60;0,1478;0,426;7,135
"194";1806;"AVEYRON";65;0,2146;0,363;5,005
"195";1806;"AVEYRON";70;0,3154;0,285;3,19
"196";1806;"AVEYRON";75;0,4343;0,195;1,765
"197";1806;"AVEYRON";80;0,5752;0,111;0,79
"198";1806;"AVEYRON";85;0,7393;0,047;0,235
"199";1806;"BOUCHES-DU-RHONE";0;0,3441;1;38,49
"200";1806;"BOUCHES-DU-RHONE";10;0,0291;0,626;30,21
"201";1806;"BOUCHES-DU-RHONE";15;0,0414;0,608;27,08
"202";1806;"BOUCHES-DU-RHONE";20;0,0534;0,583;24,04
"203";1806;"BOUCHES-DU-RHONE";25;0,0572;0,551;21,125
"204";1806;"BOUCHES-DU-RHONE";30;0,0605;0,52;18,37
"205";1806;"BOUCHES-DU-RHONE";35;0,0636;0,488;15,77
"206";1806;"BOUCHES-DU-RHONE";40;0,0664;0,457;13,33
"207";1806;"BOUCHES-DU-RHONE";45;0,0713;0,427;11,045
"208";1806;"BOUCHES-DU-RHONE";5;0,0457;0,656;33,49
"209";1806;"BOUCHES-DU-RHONE";50;0,0881;0,397;8,91
"210";1806;"BOUCHES-DU-RHONE";55;0,1173;0,362;6,925
"211";1806;"BOUCHES-DU-RHONE";60;0,1664;0,319;5,115
"212";1806;"BOUCHES-DU-RHONE";65;0,2376;0,266;3,52
"213";1806;"BOUCHES-DU-RHONE";70;0,3419;0,203;2,19
"214";1806;"BOUCHES-DU-RHONE";75;0,4594;0,134;1,175
"215";1806;"BOUCHES-DU-RHONE";80;0,5949;0,072;0,505
"216";1806;"BOUCHES-DU-RHONE";85;0,753;0,029;0,145
"217";1806;"CALVADOS";0;0,1653;1;54,89
"218";1806;"CALVADOS";10;0,0137;0,819;45,715
"219";1806;"CALVADOS";15;0,0209;0,807;41,62
"220";1806;"CALVADOS";20;0,0277;0,791;37,585
"221";1806;"CALVADOS";25;0,0305;0,769;33,63
"222";1806;"CALVADOS";30;0,033;0,745;29,785
"223";1806;"CALVADOS";35;0,0366;0,721;26,06
"224";1806;"CALVADOS";40;0,0411;0,694;22,455
"225";1806;"CALVADOS";45;0,0485;0,666;18,985
"226";1806;"CALVADOS";5;0,0193;0,835;49,89
"227";1806;"CALVADOS";50;0,0634;0,633;15,655
"228";1806;"CALVADOS";55;0,0871;0,593;12,49
"229";1806;"CALVADOS";60;0,1281;0,542;9,525
"230";1806;"CALVADOS";65;0,1899;0,472;6,815
"231";1806;"CALVADOS";70;0,2861;0,383;4,455
"232";1806;"CALVADOS";75;0,4059;0,273;2,54
"233";1806;"CALVADOS";80;0,5523;0,162;1,175
"234";1806;"CALVADOS";85;0,7233;0,073;0,365
"235";1806;"CANTAL";0;0,3545;1;37,685
"236";1806;"CANTAL";10;0,03;0,615;29,455
"237";1806;"CANTAL";15;0,0426;0,596;26,38
"238";1806;"CANTAL";20;0,0548;0,571;23,4
"239";1806;"CANTAL";25;0,0587;0,54;20,545
"240";1806;"CANTAL";30;0,062;0,508;17,845
"241";1806;"CANTAL";35;0,065;0,477;15,305
"242";1806;"CANTAL";40;0,0678;0,446;12,92
"243";1806;"CANTAL";45;0,0724;0,415;10,69
"244";1806;"CANTAL";5;0,0474;0,646;32,685
"245";1806;"CANTAL";50;0,0893;0,385;8,615
"246";1806;"CANTAL";55;0,1187;0,351;6,69
"247";1806;"CANTAL";60;0,1682;0,309;4,935
"248";1806;"CANTAL";65;0,2398;0,257;3,39
"249";1806;"CANTAL";70;0,3444;0,196;2,105
"250";1806;"CANTAL";75;0,4617;0,128;1,125
"251";1806;"CANTAL";80;0,5966;0,069;0,485
"252";1806;"CANTAL";85;0,7543;0,028;0,14
"253";1806;"CHARENTE";0;0,2791;1;43,83
"254";1806;"CHARENTE";10;0,0235;0,695;35,225
"255";1806;"CHARENTE";15;0,0341;0,679;31,75
"256";1806;"CHARENTE";20;0,0443;0,656;28,355
"257";1806;"CHARENTE";25;0,0478;0,627;25,075
"258";1806;"CHARENTE";30;0,0509;0,597;21,94
"259";1806;"CHARENTE";35;0,0543;0,566;18,955
"260";1806;"CHARENTE";40;0,0579;0,536;16,125
"261";1806;"CHARENTE";45;0,0638;0,504;13,445
"262";1806;"CHARENTE";5;0,0358;0,721;38,83
"263";1806;"CHARENTE";50;0,0802;0,472;10,925
"264";1806;"CHARENTE";55;0,1078;0,434;8,565
"265";1806;"CHARENTE";60;0,1544;0,388;6,395
"266";1806;"CHARENTE";65;0,2229;0,328;4,455
"267";1806;"CHARENTE";70;0,325;0,255;2,815
"268";1806;"CHARENTE";75;0,4434;0,172;1,54
"269";1806;"CHARENTE";80;0,5824;0,096;0,68
"270";1806;"CHARENTE";85;0,7443;0,04;0,2
"271";1806;"CHARENTE-INFERIEURE";0;0,2349;1;47,82
"272";1806;"CHARENTE-INFERIEURE";10;0,0197;0,743;38,995
"273";1806;"CHARENTE-INFERIEURE";15;0,029;0,728;35,28
"274";1806;"CHARENTE-INFERIEURE";20;0,038;0,707;31,64
"275";1806;"CHARENTE-INFERIEURE";25;0,0412;0,68;28,105
"276";1806;"CHARENTE-INFERIEURE";30;0,0441;0,652;24,705
"277";1806;"CHARENTE-INFERIEURE";35;0,0477;0,623;21,445
"278";1806;"CHARENTE-INFERIEURE";40;0,0517;0,594;18,33
"279";1806;"CHARENTE-INFERIEURE";45;0,0583;0,563;15,36
"280";1806;"CHARENTE-INFERIEURE";5;0,0292;0,765;42,82
"281";1806;"CHARENTE-INFERIEURE";50;0,0742;0,53;12,545
"282";1806;"CHARENTE-INFERIEURE";55;0,1005;0,491;9,895
"283";1806;"CHARENTE-INFERIEURE";60;0,1452;0,441;7,44
"284";1806;"CHARENTE-INFERIEURE";65;0,2114;0,377;5,235
"285";1806;"CHARENTE-INFERIEURE";70;0,3116;0,298;3,35
"286";1806;"CHARENTE-INFERIEURE";75;0,4307;0,205;1,86
"287";1806;"CHARENTE-INFERIEURE";80;0,5723;0,117;0,835
"288";1806;"CHARENTE-INFERIEURE";85;0,7373;0,05;0,25
"289";1806;"CHER";0;0,3788;1;35,86
"290";1806;"CHER";10;0,0321;0,589;27,755
"291";1806;"CHER";15;0,0453;0,57;24,81
"292";1806;"CHER";20;0,0582;0,545;21,96
"293";1806;"CHER";25;0,0621;0,513;19,235
