"";"ANNEE";"DEPARTEMENT";"Qmort[0-4]";"Qmort[5-9]";"Qmort[10-14]";"Qmort[15-19]";"Qmort[20-24]";"Qmort[25-29]";"Qmort[30-34]";"Qmort[35-40]";"Qmort[40-44]";"Qmort[45-49]";"Qmort[50-54]";"Qmort[55-59]";"Qmort[60-64]";"Qmort[65-69]";"Qmort[70-74]";"Qmort[75-79]";"Qmort[80-85]";"Qmort[85-...]"
"98";1811;"AVEYRON";0,218;0,0267;0,0182;0,0271;0,0355;0,0386;0,0415;0,0451;0,0493;0,0561;0,0718;0,0975;0,1414;0,2067;0,306;0,4253;0,568;0,7343
"99";1811;"BOUCHES-DU-RHONE";0,3301;0,0436;0,0279;0,0398;0,0514;0,0552;0,0584;0,0616;0,0647;0,0697;0,0865;0,1153;0,164;0,2346;0,3385;0,4562;0,5924;0,7513
"100";1811;"CALVADOS";0,1643;0,0192;0,0136;0,0208;0,0276;0,0303;0,0329;0,0365;0,0409;0,0483;0,0632;0,0869;0,1278;0,1895;0,2857;0,4054;0,552;0,7231
"101";1811;"CANTAL";0,2732;0,0349;0,023;0,0334;0,0434;0,0469;0,05;0,0534;0,0571;0,0631;0,0795;0,1068;0,1533;0,2214;0,3233;0,4418;0,5811;0,7434
"102";1811;"CHARENTE";0,3209;0,0421;0,0271;0,0388;0,0501;0,0539;0,0571;0,0603;0,0635;0,0687;0,0854;0,114;0,1623;0,2326;0,3362;0,454;0,5907;0,7501
"103";1811;"CHARENTE-INFERIEURE";0,2872;0,037;0,0242;0,035;0,0454;0,049;0,0521;0,0555;0,059;0,0648;0,0813;0,109;0,156;0,2248;0,3273;0,4456;0,5841;0,7455
"104";1811;"CHER";0,3784;0,0511;0,0321;0,0452;0,0581;0,062;0,0654;0,0683;0,0707;0,0749;0,092;0,1219;0,1722;0,2446;0,3499;0,4668;0,6006;0,757
"105";1811;"CORREZE";0,398;0,0543;0,0338;0,0474;0,0608;0,0648;0,0682;0,0709;0,0731;0,0769;0,0941;0,1244;0,1753;0,2484;0,3543;0,4708;0,6037;0,7592
"106";1811;"CORSE";0,4023;0,055;0,0342;0,0479;0,0614;0,0654;0,0688;0,0715;0,0736;0,0774;0,0946;0,125;0,176;0,2492;0,3552;0,4716;0,6043;0,7596
"107";1811;"COTE-D-OR";0,2233;0,0275;0,0187;0,0277;0,0363;0,0395;0,0423;0,0459;0,05;0,0568;0,0726;0,0984;0,1426;0,2082;0,3078;0,427;0,5694;0,7352
